id,type,description,active
1350,FIX,Fixed Surveillance Camera c/w enclosure,TRUE
1360,FPAV,Flexible Pavement,TRUE
1370,FIT,Flow Indicating Transmitter,TRUE
1380,VOAV,Flu gas temperature and velocity,TRUE
1390,FSYS,Foam System,TRUE
1400,APFF,Framework and Fixings,TRUE
1410,LVFU,Fuse (LV),TRUE
1420,GTY,Gantry,TRUE
1430,GTYA,Gantry Access Structures and Ladders,TRUE
1440,GATE,Gates,TRUE
1450,HVTX,General - High Voltage Transformer,TRUE
1460,LT,General Lighting,TRUE
1470,GPO,General Power outlets (GPO),TRUE
1480,TSGM,Geotechnical Monitoring Points,TRUE
1490,BRGI,Girders (Span),TRUE
1500,BFGE,Glass Elements,TRUE
1510,GNSB,Glass noise barrier panels,TRUE
1520,FGUI,Graphical User Interface and Mimic,TRUE
1530,GPT,Gross Pollutant Trap,TRUE
1540,GRA,Guard Rail,TRUE
1550,BHGP,Gutters and Down Pipes,TRUE
1560,LVHF,Harmonic Filters,TRUE
1570,HW,Headwall,TRUE
1580,HTR,Heater,TRUE
1590,HLP,Help Telephone,TRUE
1600,HMI,Human Machine Interface,TRUE
1610,FIL,HVAC Filter (Mechanical),TRUE
1620,ACT,Hydraulic Actuators,TRUE
1630,PIOB,I/O Baseplate,TRUE
1640,PIOCP,I/O CPU,TRUE
1650,PIOI,I/O instrumentation,TRUE
1660,PIOPS,I/O power supplies,TRUE
1670,LVIB,Incoming Breaker (LV),TRUE
1680,TLD,Infra-red traffic logger (TIRTL),TRUE
1690,HVIM,Instrumentation & Meters (HV),TRUE
1700,LVIM,Instrumentation & Meters (LV),TRUE
1710,TSD,In-Tunnel Smoke Detector,TRUE
1720,LVIS,Isolation Breaker (LV),TRUE
1730,CP,ITS Control Panel,TRUE
1740,ITS,ITS Intelligent Transport System roadside cabinet,TRUE
1750,JEB,Jersey Barriers,TRUE
1760,JTF,Jet Fans (JTF),TRUE
1770,JB,Junction Box (LV),TRUE
1780,KERB,Kerb and Gutters,TRUE
1790,LUMS,Lane use management signs,TRUE
1800,RCS,LED Ramp Control Sign,TRUE
1810,LIT,Level Indicating Transmitter,TRUE
1820,TFHE,Lifting & Material Handling Equipment,TRUE
1830,LGT,Light,TRUE
1840,LTN,Lighting - Cabinets and Niche,TRUE
1850,LCP,Lighting Control Panel,TRUE
1860,LTJB,Lighting Junction Box,TRUE
1870,LIGP,Lightning Protection,TRUE
1880,LHD,Linear Heat Detector,TRUE
1890,LLD,Linear LED Luminaire,TRUE
1900,TDLL,Longitudinal Ducting,TRUE
1910,LOLM,Longitudinal Line Marking,TRUE
1920,LLE,Low Level Egress Lighting,TRUE
1930,LGTY,LUMS Gantry,TRUE
1940,LVCLT,LV Final Circuit Cable Ltg,TRUE
1950,LVCFR,LV Final Circuit Cable Power,TRUE
1960,LVSC,LV Submain Cable (MSB/MCC to device),TRUE
1970,MFIP,Main Fire Indication Panel,TRUE
1980,MFIPB,Main Fire Panel Battery,TRUE
1990,LVSWB,Main LV Switchboard,TRUE
2000,MSB,Main Switchboard,TRUE
2010,TFSH,Maintenance Access Structures and Hatches,TRUE
2020,DRSCR,MCC & DRS Control Room Equipment,TRUE
2030,MCC,MCC (Motor Control Centre),TRUE
2040,MCP,MCP Manual Call Points,TRUE
2050,MSSB,Mechanical Services Switchboard,TRUE
2060,TMDT,"Membrane Coatings, Water Diversion & Drip Trays",TRUE
2070,BFME,Metal Elements,TRUE
2080,HVCT,Metering CT,TRUE
2090,HVVT,Metering VT,TRUE
2100,MW,Microwave,TRUE
2110,MRP,Misting system pump,TRUE
2120,MMP,Misting system range pipework,TRUE
2130,MSV,Misting System Valve,TRUE
2140,MSZ,Misting Zone Valve,TRUE
2150,MTR,Motor ,TRUE
2160,MTP,Motor Protection Relay,TRUE
2170,MRD,Motorised Relief Dampers,TRUE
2180,MNCS,Motorway Network Communication System,TRUE
2190,MMS,Movable Median Systems,TRUE
2200,UIC,Multivariable Indicating Control,TRUE
2210,VNA,Noise Attenuators,TRUE
2220,NSB,Noise Barriers,TRUE
2230,NEDB,Non Essential Electrical Distribution Board,TRUE
2240,OMRS,O&M Radio System,TRUE
2250,OTTX,Oil Type Transformer,TRUE
2260,OWS,Oil Water Separator,TRUE
2270,OMCSC,OMCS Cabinets,TRUE
2280,OMCSN,OMCS Network,TRUE
2290,SWL,Open Drain/Swale,TRUE
2300,OMP,Operation and Maintenance phone System,TRUE
2310,OSD,Optical Smoke Detection unit,TRUE
2320,HVOB,Outgoing Breaker (HV),TRUE
2330,OHD,Over Height Vehicle Detection System,TRUE
2340,MEP,PABX System & Servers,TRUE
2350,BRPH,Parapets and Piles,TRUE
2360,VOPM,Particulate Monitoring Equipment,TRUE
2370,WED,"Particulates, Weather detector - Fog visibility sensor",TRUE
2380,PAL,Pavement Lighting,TRUE
2390,PSLM,Pavement Symbols,TRUE
2400,PEN,Penstock,TRUE
2410,MRC,Phase inversion / reversing contactor,TRUE
2420,PH,Phone,TRUE
2430,GRPI,Pier and Headstock,TRUE
2440,PRD,Plant Room Doors,TRUE
2450,BHPF,Plumbing Fixtures,TRUE
2460,PP,Polypropylene Pipe,TRUE
2470,PFE,Portable Fire Extinguishers,TRUE
2480,PLM,Portal Luminance Meter,TRUE
2490,TSPP,Portal Structure,TRUE
2500,ZIT,Position Indicating Transmitter,TRUE
2510,PDB,Power Distribution Board,TRUE
2520,PFC,Power Factor Correction,TRUE
2530,TSPT,Precast Tunnel Structure,TRUE
2540,PCV,Pressure Control Valve,TRUE
2550,PSV,Pressure relief valve,TRUE
2560,PSF,Pressurisation fan,TRUE
2570,PLC,Programmable Logic Controller,TRUE
2580,HVCTP,Protection CT,TRUE
2590,HVPR,Protection Relay (HV),TRUE
2600,LVPR,Protection Relay (LV),TRUE
2610,GTYP,Protective Coatings and Painted Surfaces,TRUE
2620,BFPC,Protective Coatings and Painted Surfaces (Building),TRUE
2630,PAS,Public Address System,TRUE
2640,CAB,Rack Cabinet,TRUE
2650,BRRS,Rails and Screens,TRUE
2660,RPM,Raised Pavement Marking,TRUE
2670,RX,Receiver,TRUE
2680,RCP,Reinforced Concrete Pipe,TRUE
2690,RLY,Relay,TRUE
2700,PIOC,Remote I/O Cabinet,TRUE
2710,RIO,Remote I/O Rack,TRUE
2720,RSA,Rest Areas,TRUE
2730,RTWL,Retaining Walls,TRUE
2740,RPAV,Rigid Pavement,TRUE
2750,RMP,Rising Main Pipe,TRUE
2760,RMPU,Rising Main Pump,TRUE
2770,RMV,Rising Main Valve,TRUE
2780,RL,Road Lighting,TRUE
2790,RSRE,Road Sign Ramp Exit,TRUE
2800,RSC,Roadside Cabinets,TRUE
2810,TSBA,Rock Bolts and Anchors,TRUE
2820,RTS,Room Temperature Sensors,TRUE
2830,RTR,Router,TRUE
2840,RRB,RRB Radio Re-Broadcast System,TRUE
2850,SFB,Safety Barrier,TRUE
2860,STS,Seats,TRUE
2870,TSJG,Segment Joints and Gaskets,TRUE
2880,SEN,Sensors,TRUE
2890,STRMC,Servers,TRUE
2900,SRV,Servers,TRUE
2910,SHD,SHD Shed,TRUE
2920,SHL,SHL Shelter,TRUE
2930,TMSS,Shotcrete Lining,TRUE
2940,SEP,Side Entry Pits ,TRUE
2950,SFP,Sign Face Plate,TRUE
2960,SGP,Sign Post,TRUE
2970,SIG,Signs,TRUE
2980,BRSL,Slab,TRUE
2990,SVDS,Smoky Vehicle Detection System,TRUE
3000,SS,Soft Starter,TRUE
3010,FPSC,Sounder Circuit,TRUE
3020,SPK,Speaker,TRUE
3030,SC,Speed/ Frequency Control ,TRUE
3040,TMDW,Spoon Drain and Weep holes,TRUE
3050,SPD,Spoon Drains,TRUE
3070,SNSB,Steel noise barrier panels,TRUE
3080,SV,Stop Valve,TRUE
3090,SWD,Stormwater detention tank,TRUE
3100,SWPU,Stormwater Drainage Pumps,TRUE
3110,SWP,Stormwater pipe,TRUE
3120,SWPT,Stormwater pit,TRUE
3130,SWT,Stormwater treatment device,TRUE
3140,STRMS,STREAMS System,TRUE
3150,LST,Strobe Light,TRUE
3160,SFIP ,Sub Fire Indication Panel,TRUE
3170,TFER,Substation and Equipment Rooms,TRUE
3180,TLPS,Sump structure,TRUE
3190,FGRC,Suppressant gas release controller,TRUE
3200,FGSV,Suppressant gas release solenoid valve,TRUE
3210,FGRW,Suppressant gas release warning sign,TRUE
3220,FGSB,Suppressant gas system - gas storage bottle,TRUE
3230,FGSM,Suppressant gas system manifold,TRUE
3240,SRP,Surface Road Drainage pipe,TRUE
3250,SRPT,Surface Road Drainage pit,TRUE
3260,SW,Switch,TRUE
3270,LVMSB,Switchboard,TRUE
3280,HVSB,Switchboard and Cubicles (HV),TRUE
3290,CHR,Switching Battery and Charger,TRUE
3300,TBL,Table,TRUE
3310,TID,Thermal Incident Detection,TRUE
3320,THM,Thermistor,TRUE
3330,TPTT,Tiled Surfaces,TRUE
3340,TOI,Toilet,TRUE
3350,TLDS,Traffic Loop & Detection System,TRUE
3360,TSC,Traffic Signal Controller,TRUE
3370,TSL,Traffic Signal Lantern,TRUE
3380,TX,Transmitter,TRUE
3390,LALM,Transverse (Lateral) Line Marking,TRUE
3400,LTT,Tunnel Carriageway Lighting,TRUE
3410,TCS,Tunnel closure system,TRUE
3420,TWP,Tunnel Groundwater pipe,TRUE
3430,TWPT,Tunnel Groundwater pit,TRUE
3440,TCM,Tunnel Lining Crack Meter,TRUE
3450,TDM,Tunnel Lining Displacement Monitoring,TRUE
3460,TMS,Tunnel Message Signs,TRUE
3470,TSTS,Tunnel Structure,TRUE
3480,AFM,Ultrasonic Air Velocity Monitor,TRUE
3490,XIT,Unclassified Indicating Transmitter,TRUE
3500,UPS,Uninterruptible Power Supplies,TRUE
3510,BAT,UPS Battery,TRUE
3520,VLV,Valves,TRUE
3530,VMS,Variable Message Signs (VMS),TRUE
3540,VSD,Variable Speed Drive,TRUE
3550,VSS,Variable Speed Limit Signs,TRUE
